job_title,organization,location,job_description
SERVERS,Restaurant/Food Services,Jones Mills 15646,"COUNTRY CLUB POSITIONS Servers, Bartenders, & Grounds Laborers Private Country Club Hiring for the Season. FT & PT Year Round Positions. Call For Info/Appt. 724-593-2444"
Advertising Campaign Manager Job in Jurupa Valley,Advertising and PR Services;Staffing/Employment Agencies;Business Services - Other,"Jurupa Valley, CA 91752","The Job Window is hiring an Advertising Campaign Manager on behalf of our client, an organization that specializes in developing interactive promotional marketing & advertising campaigns and strategies that captivate audiences and produce repeat customers. The Advertising Campaign Manager is a full-time, permanent position, with the opportunity for advancement, providing assistance and direction in managing our client’s largest campaign to date.  The selected applicant will report to the Executive Director of Advertising & Sales and work closely with the Campaign leaders, Sales leads and promotional marketing & advertising staff to help carry out a broad-based plan, for what will be a milestone year for our client’s campaign! The Advertising Campaign Manager will keep the campaign on schedule and progressing with a high-level of visibility and momentum that provokes a sense of excitement, optimism and confidence in achieving all Campaign goals. Previous experience in campaign planning and leadership is required. Advertising Campaign Manager Responsibilities include, but not limited to:Provide leadership in creating and implementing each on-site campaign and monitor financial progress for the Campaign across the Jurupa Valley areaAssist in the development and execution of on-site advertising strategies including retention & recognition programs, sales lead generation tactics and promotional pricing programs to motivate current and prospective consumer buying habitsBuild relationships with consumers and encourage a positive brand communications experienceAssist in recruitment, orientation, training, objective setting, and performance monitoring and professional development with campaign staffProvide direction in scheduling Campaign staff meetings, prepare agendas, meeting notes and reportsConduct research to identify and develop target consumer profiles and best advertising strategies to influence prospective consumers purchasing patternsOversee campaign revenue monitoring, acknowledgement and trackingEducates and engages campaign staff, ensuring timely and accurate information about the project is providedRequirementsAdvertising Campaign Manager Qualifications and Competencies:Experience in Campaign planning and management an assetHighly organized, self-motivated, detail-oriented (attention to detail), creative, strategic, professional and able to manage multiple projects under tight deadlines;Computer literacy, including MS Office/WindowsExcellent writing, analytical and research skills are essentialExceptional communication skills, a strong team work ethic and demonstrated strong planning and organizing abilities;Ability to be flexible and manage multiple projects with competing timelines;Exceptional interpersonal skills and an ability to work collaboratively with all levels of staff and consumersDemonstrated ability to enable success of a team and wider organization through leadership and effective management;Ability to develop and maintain strong relationships with multiple stakeholders;Ability to work within a senior management team;Ability to think strategically and work proactively, managing competing priorities;Superior writing and communications skills. Special Conditions:A valid driver’s license is required with access to a reliable vehicle;Required to attend and assist at any on-site campaign events;Ability to work flexible hours with possible evenings and weekends;Key Words: Advertising Campaign Manager, Advertising, Advertising Associate, Advertising Assistant, Advertising Consultant, Advertising Intern, Advertising Support, Advertising Specialist, Advertising Campaign Associate, Advertising Coordinator, Direct Advertising, Advertising Support, Corporate Advertising, Advertising Strategy."
Crew Lead (Full Time) - Alliance GetGo Job in Alliance,Food and Beverage Production,"Alliance, OH","Position Summary The purpose of this position is to exceed customer and Team Member needs and expectations by providing safe, efficient, accurate, and pleasant shopping, purchasing, and food services in addition to guidance and coaching of Team Members. Job Responsibilities Oversee the effective and efficient completion of shift duties in all areas assigned by the General Manager. Demonstrate adherence to company policies through example and coaching. Oversee and conduct Team Member training as required by General Manager and according to established Company policies and procedures. Maintain safe, prompt, and courteous customer service, attend to customers' concerns and complaints, and promote the company culture by modeling and coaching Team Members. Provide excellent customer service by being pleasant, greeting customers, and thanking them for their business. Ring up customers' orders by scanning product or entering prices into register according to established Company policies and procedures; finalize sales and collect payments by totaling orders and accepting tender from customers. Assist General Manager in store scheduling and scheduling adjustments. Assist General Manager in merchandising and promotional activities including checking in vendors, merchandise receiving, price changes, displays, and signage. Ensure that proper maintenance, cleanliness, and image standards are being maintained for the entire facility (e.g. equipment, counter area, floor, exterior pump area, etc.) to ensure safety and sanitation regulations are met. Notify and oversee the completion of appropriate maintenance services when necessary. Assist in the proper and timely processing of all accounting functions. Assist the General Manager in attaining all budgeted goals and objectives for site, focusing on the areas of shrink, sales, expenses, TSR (Total Sales Revenue) and gross profit. Implement and maintain all established inventory control policies. Ensure all established safety and security policies are followed. Perform duties as GoGetter, Kitchen GoGetter, and/or WetGoGetter as needed. Responsible for controlling some expense within a department. Responsible for direct and indirect supervision of team members in one or more departments. Education and Training Required High school diploma or equivalent Education and Training Desired Associates Degree Bachelors Degree Experience Required 1 to 3 years Experience Desired Supervisory Experience, Customer Service/Retail Experience Equipment Used Adding Machine Dishwasher Dolly Fountain Machines Fuel Pumps Hose Ice Coffee Machine Ice Machine Knives Bag in box machine Lang Oven Make Line Merry Chef (Oven) Microwave Motorola Hand Held Gun (Receiving) Panini Grill Power Washer Proofer Registers Shrink Wrap Machine Cap Machine Smoothie Machine Stand-up Lotto Machine Teazzer Texlon Ordering Machine Vacuum Watchguard Detergent Dispenser Car Wash Equipment Coffee Brewer Coffee Grinder Conventional Oven Creamer Machine Calculator Computer Copier Fax Machine Printer Telephone Travel Required No"
UPS Automotive Mechanic Job in Dallas,Telecommunications Services,"Dallas, TX 75227","UPS is hiring individuals to work as Full-Time Automotive Mechanics. Fleet and diesel engine experience is highly desirable. Strong troubleshooting skills and transmission and clutch experience is also required for this position. UPS Automotive Mechanics must be at least 21 years old, proficient operating standard transmission vehicles, meet the DOT driving requirements and have a complete set of hand tools. The work for this position is typically performed during nights and weekends. An attractive pay and benefits package is offered. Uniforms are provided."
VP OPERATIONS Job in Albuquerque,Business Services - Other,"Albuquerque, NM 87102","CenturyLink (NYSE: CTL) is a global communications, hosting, cloud and IT services company enabling millions of customers to transform their businesses and their lives through innovative technology solutions. CenturyLink offers network and data systems management, Big Data analytics and IT consulting, and operates more than 55 data centers in North America, Europe and Asia. The company provides broadband, voice, video, data and managed services over a robust 250,000-route-mile U.S. fiber network and a 300,000-route-mile international transport network.The Vice President of Operations is responsible for overseeing  field operations to ensure network reliability and satisfactory delivery of telecommunication services to residential and business customers.  They are primarily responsible for service installation and repair, and network rehab and maintenance work.  They oversee this for both central office and outside plant areas. The position oversees a team of Area Operations Managers who have teams of Area Plant Supervisors who manage the bargained-for technician organization responsible for doing the installation, repair, rehab work.   The organization is not only responsible for ensuring network reliability and operational efficiencies, but also for partnering with the Local Planning and Engineering and Construction teams to prioritize and plan capital investments related to network upgrades or maintenance and rehab jobs. This position is also responsible for growing the customer base and driving revenue through: strong alignment with sales organization, interactions with community leaders and customers, ensuring service quality, support of the technician referral programs, and prompt handling of customer issues.    The VPO  is a strong leader who works to develop and groom his/her organization through frequent communication, market visits, and skip level meetings. Key ResponsibilitiesManage self and team to established safety standards, service quality metrics and sales and revenue targets Manage to operating employee and non-employee budgetsDrive sales focus on consumer and business segments by partnering with business sales leads, retail sales and market development managersPartner with peer organizations (C&E, Planning) to ensure network standards and reliability as well as operational efficienciesRepresent company professionally in the local business communities and on occasion before local government and regulatory entitiesContinually evaluate process, procedures to ensure operational optimization Job RequirementsKeen and relentless  focus on results and driving operating improvementsTen or more years in telecommunications or closely related fieldEight or more years in managementUnion workforce management experience preferredBudget management experienceCollege degree preferredEffective leadership and coaching skillsAbility to create and present powerful and meaningful presentations regarding performance of marketStrong analytical and critical thinking skills Ability to travel the state frequently  340 employees380 M revenue accountability$38M budget responsibility _________________________________________________________________________________________________Talent DevelopmentEmpower employees to take responsibility for their jobs and goals. Manage and delegate day-to-day activity, including escalations, with an expectation of accountability and regular feedback.  Embrace and Drive a “Culture of Learning” by expanding professional, leadership and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal; benchmarking state-of-the-art practices and participating in professional societies to ensure growth in alignment with technology and industry changes Lead employees using a performance based management and development process that provides an overall context and framework to challenge and encourage employee contribution.Coach, mentor, and develop staff, including career development planning.  Continuously drive growth in overall employee_________________________________________________________________________________________Process DisciplineFacilitates change by challenging existing process and the status quo. Drive continuous improvement.  Drive and support systems implementations that reduce manual work and provide efficiencies for the department Establish and maintain relevant controls and feedback systems to monitor the operation of the department and provide management reporting _________________________________________________________________________________________________Business AcumenUnderstand and lead the work of the team, plan and maintain work systems, procedures and policies, and manage the overall operational, budgetary, and financial responsibilities and activities necessary to effectively run the department________________________________________________________________________________________Employee EngagementConsciously create a team culture that is consistent with the overall Company's  - that emphasizes the identified Mission, Vision, Guiding Principles and values of the organization Foster a spirit of teamwork, trust and unity among department members that allows for disagreement over ideas, healthy conflict and expeditious conflict resolution, the appreciation for diversity as well as cohesiveness, supportiveness, and working effectively together to enable each employee and the department to succeed  Have a thorough understanding of the Corporate strategy and direction.  Embrace the final decisions made and “own” articulating such and bringing the team on board Alternate Location: US-New Mexico-AlbuquerqueRequisition #: 40716 EEO StatementNo Discrimination. We are committed to providing equal employment opportunities to all persons regardless of race, color, ancestry, citizenship, national origin, religion, veteran status, disability, genetic characteristic or information, age, gender, sexual orientation, marital status, family status, pregnancy, or other legally protected status (collectively, “protected statuses”). We do not tolerate unlawful discrimination in any employment decisions, including recruiting, hiring, compensation, promotion, benefits, discipline, termination, job assignments or training. Any offer of employment is contingent upon the results of a pre-employment drug test and background check.DisclaimerThe above job definition information has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.  Job duties and responsibilities are subject to change based on changing business needs and conditions."
PT Hopper Operator Job in Hayward,Other/Not Classified,"Hayward, CA 94541","MANUFACTURING PT Hopper Operator Hayward The Bay Area News Group East Bay is seeking energetic self motivated individuals who can work as team players in our packaging center in Hayward. These are entry level positions requiring the ability to lift in excess of 35 lbs while inserting newspaper sections manually and by machine. Part-time day/night shifts available. Holidays and weekend work required. Flexibility a must. For immediate consideration apply either online at http://smrtr.io/KoxeLQ, or by going to 3317 Arden Road, Hayward or 175 Lennon Lane, Ste. 100, Walnut Creek between the hours of 9am 3pm, Monday through Friday to complete an application for employment. You can also email eastbayjobs@bayareanewsgroup.com Pre-employment drug test and background check required. EOE"
Family Crisis Center Milieu Counselor  hrs week Job in Knoxville,Healthcare Services,"Knoxville, TN 37917","The Helen Ross McNabb Center (www.mcnabbcenter.org) is a premier not-for-profit provider of behavioral health services.  The Center provides quality care and serves all ages in a continuum of prevention, early intervention, social, co-occurring, addiction, outpatient and crisis services. The Center is seeking motivated staff members that possess the ability to relate to"
Systems Test Engineer Job in Lake Zurich,"Lake Zurich, IL 60047",Systems Test Engineer,"Experis is hiring a System Test Engineer! Primary Responsibilities: System Test- Principal Engineer. Technical expert in the creation and development of system test components. Responsible for validation test activities including conducting usability validation testing, formative studies, summative studies, and beta testing. Establish validation standards, develop testing protocols, and prepare validation test environment. At a system level, test and analyze new and existing products that provide communication between Windows-based and real-time embedded software products. Operate within defined processes and procedures of the software development life-cycle consistent with a regulated environment. Effectively operate in and may facilitate cross-functional teams with guidance. Identify anomalies and issues, and investigate to identiy root cause. Create and maintain detailed documentation for the test plans, test scenarios, test cases, execution, and results of tests and studies. Document and organize test results and write reports. Specific Skills and/or knowledge, credentials, or professional certifications: B.S. degree in computer science, computer engineering, or equivalent and 3-5 years related experience. Demonstrated leadership experience; strong customer service skills. Experience in Windows platform application development, Database analysis using SQL Management Studio or other database tools. Experience in internet networking design architecture for real-time communication using HTTP, SOAP, and REST protocols. Experience in applying medical regulations to design of software applications. Experience in Automation and Performance testing. Proficient in writing test plans, test protocols, and test report documents; experience with Rational software development products, including DOORS, ClearQuest, and ClearCase preferred. Strong problem solving and analytical skills. Excellent written and verbal communication skillsExperis is an Equal Opportunity Employer (EOE/AA)"
Nurse-LPN/LVN-Pay Per Point Healthcare Job in Cincinnati,Healthcare Services Other/Not Classified,"Cincinnati, OH 45236","Full-Time - LPN HH, Home Health LPNCincinnati, OH 45236Job #: LPNcinOH053259 Full-time LPN Home Health opportunity with Brookdale in the Cincinnati area.A career with Brookdale Healthcare Services has never been so rewarding! Brookdale Home Health is ranked among the Top Ten largest home heath companies in the country. Many of our agencies carry a five-star rating and are recognized by Decision Health as Home Care Elite agencies. We own and operate more than 80+ agencies nationwide, serving approximately 17,000 patients throughout our Brookdale Home Health Division.Brookdale. Bringing new life to senior living.Brookdale Healthcare Services is looking for a Home Health LPN to provide services in the Cincinnati, OH area. Join a dynamic team of health care providers focused on health, wellness and prevention for all our patients.Your responsibilities: * Medication administration for the department * May be required to supervise other staff positions * Provide general consultation regarding health-related concerns within the community * Provide direct care to residents, while promoting the highest level of functioning, as directed by management * Monitor residents as needed, including resident responses to treatment and care plans * Supervise and direct nursing assistants as needed * Promote quality services within community standards, state and federal regulations * Document necessary information regarding nursing care, care plans and observation of residents' overall conditionsRequired skills and qualifications:* Current practical nursing licensure within the state of practice required* Current CPR and first aid certifications a plus * At least two years of relevant nursing experience* Flexible schedule, including availability to work evenings, weekends and holidays as needed* Must enjoy working with the senior populationIf you're a Brookdale associate, please consider referring someone through the Good People Program! Brookdale is an EOE-(Equal Opportunity Employer) and drug-free workplace. Brookdale offers a number of benefits to full-time associates including, but not limited to: medical, dental, vision, disability, life, paid time off, educational reimbursement. All associates, age 21 and older, are eligible to participate in the 401(k) retirement savings plan."
Business Analyst - Client Reporting Job in Boston,Computer/IT Services,"Boston, MA","Job Description Job #:  675682EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739. $('span#TrackingJobBody a').each(function (i, v) { if ($(v).attr('href')) { var href = $(v).attr('href').toLowerCase(); if (href.match(""^http"")) { switch (true) { case /facebook/.test(href): $(v).attr('mns_rt', 'NonJob-Facebook'); break; case /linkedin/.test(href): $(v).attr('mns_rt', 'NonJob-Linkedin'); break; case /twitter\.com/.test(href): $(v).attr('mns_rt', 'NonJob-Twitter'); break; case /plus\.google\.com/.test(href): $(v).attr('mns_rt', 'NonJob-GooglePlus'); break; case /youtube/.test(href): $(v).attr('data-track', 'Client-Social-Youtube'); break; case /http[s]?\:\/\/([a-z0-9\-\.]{1,}\.[a-z]{2,})[\/]?$/.test(href): $(v).attr('data-track', 'Client-Link-Homepage'); break; default: $(v).attr('mns_rt', 'jobcustomapplyonline'); break; } } } });"
Faculty Support Specialist to K - Work in Higher Education! Job in Boston,Education,BostonMA,"Our client, a prestigious Boston based University is looking to hire a faculty assistant to manage complex administrative duties for a dynamic and growing department. You will help with traditional administrative duties like travel planning and calendaring as well as conference coordination, but you will also be asked to help with research projects and academic planning as well. The right person will be highly organized, have great customer service skills, and thrive in a fast-paced and intellectually stimulating environment. Must have strong MS Office skills and the ability to learn and take on new challenges. Ability to grow and take classes here as well, as you can build your resume while working here. Looking to hire immediately, so please apply today!Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Find Us on Facebook!Follow Us on Twitter!Company Profile:Founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement.Our niche brands provide direct hire, executive search, temporary staffing, contract consulting and temp/contract-to-hire solutions to emerging growth companies and the Fortune 500 across market sectors, career specialties/disciplines and industries. Over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Pharma and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future™"
Admissions Nurse (FT-Days) $,Healthcare Services,"Houston, TX 77081","Universal Health Services, Inc. (UHS) is one of the nation's largest and most respected health care management companies, operating through its subsidiaries acute care hospitals, behavioral health facilities and ambulatory centers nationwide. Founded in 1978, UHS subsidiaries now have more than 65,000 employees. The UHS business strategy is to build or purchase health care properties in rapidly growing markets and create a strong franchise based on exceptional service and effective cost control. Our success comes from a responsive management style and a service philosophy based on integrity, competence and compassion Behavioral Hospital of Bellaire is a freestanding, 122 bed facility specializing in geriatrics, children and adolescents, military programming, women’s services and general adult psych. The hospital is located in southwest Houston serving the Houston and surrounding communities. BHB is conveniently located between the Galleria and Meyerland shopping districts as well as only minutes away from the Houston Medical Center, Downtown and Midtown. The Intake/Admissions Nurse is responsible for coordination of assessments of incoming patients with Intake Counselors, coordinates Doctor's assessments and initiates the Admission process with the Admissions Clerk. The Intake Nurse provides technical assistance to the discharge planning process, under the direction of the Director of Intake Services. HOURS:  M-F (11pm-7am) Job Requirements:Education: Graduate from an accredited program of professional nursing required; Bachelor's Degree preferred. Experience: A minimum of three (3) years experience in a psychiatric health-care facility preferred. Licensure: Currently licensed to practice by the Texas State Board of Nursing. Additional Requirements: A working knowledge of the DSM-IVR and the Mental Status Exam. A working knowledge of the Addiction and Recovery field. CPR certification and successful completion of CPI (Crisis Prevention Intervention) training. Training may be obtained during new hire orientation. WORK HOURS:  M-F (7:00am - 3:00pm) Click Here To Applyhttps://uhs.ats.hrsmart.com/cgi-bin/pm/click.cgi?job_id=190889&site_id=35"
LPN/LVN- Home Health PRN Job in Lake Charles,Healthcare Services,"Lake Charles, LA 70605","CHRISTUS Home Health of Lake Charles is seeking a Licensed Vocational Nurse or Licensed Practical Nurse to provide skilled nursing care to terminally ill patients according to a Plan of Care (POC) approved by the physician under the supervision of the registered nurse (RN). This is a PRN/Per Diem position. * Graduate of an Accredited LVN School * Current LVN license * CPR certification * Must have a current state driver's license with current automobile insurance * Minimum of one (1) year of clinical experience as a LVN in acute care setting * Home health experience preferred * Additional requirements include insulin administration, foley catheter insertion, simple wound care, disimpaction, basic medication teaching, and entry level computer skills.Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
Quadrant Bar and Lounge Server - The Ritz-Carlton,Hotels and Lodging,"Washington, DC 20037","Quadrant Bar and Lounge ServerWe make stories like this possible every day. Whether we’re helping a budding chef create a favorite meal, or an anxious dad find a camera full of memories, we’re proud to welcome our guests to a home away from home. Because at The Ritz-Carlton, we never forget that we are creating guests for life.The Ritz-Carlton, Washington, DC, located at 1150 22nd Street, N.W., Washington, DC, 20037 currently has the following opportunity:Quadrant Bar and Lounge Server (160007LG): Serve food courses and alcoholic beverages to guests. Set tables according to type of event and service standards. Answer questions on menu selections. Communicate with the kitchen regarding menu questions, the length of wait, recook orders, and product availability. Communicate additional meal requirements, allergies, dietary needs, and special requests to the kitchen. Record transaction in MICROS system at time of order. Check in with guests to ensure satisfaction with each food course and/or beverages. Pick-up trays and clean tables as needed to ensure a clean dining area. Maintain cleanliness of work areas, china, glass, etc., throughout the day. Maintain cleanliness of work and guest areas by clearing, collecting and returning food and beverage items to proper area. Complete closing duties, including restocking items, turning off lights, etc. Present physical and accurate check to guest and process payment. Follow all company and safety and security policies and procedures; report accidents, injuries, and unsafe work conditions to manager; and complete safety training and certifications. Ensure uniform and personal appearance are clean and professional, maintain confidentiality of proprietary information, and protect company assets. Welcome and acknowledge all guests according to company standards, anticipate and address guests' service needs, assist individuals with disabilities, and thank guests with genuine appreciation. Speak with others using clear and professional language. Develop and maintain positive working relationships with others, support team to reach common goals, and listen and respond appropriately to the concerns of other employees. Ensure adherence to quality expectations and standards. Read and visually verify information in a variety of formats (e.g., small print). Stand, sit, or walk for an extended period of time or for an entire work shift. Move, lift, carry, push, pull, and place objects weighing less than or equal to 25 pounds without assistance and objects in excess of 50 pounds with assistance. Grasp, turn, and manipulate objects of varying size and weight, requiring fine motor skills and hand-eye coordination. Move over sloping, uneven, or slippery surfaces as well as up and down stairs and/or service ramps. Reach overhead and below the knees, including bending, twisting, pulling, and stooping. Perform other reasonable job duties as requested by Supervisors.  We invite you to learn more about this position and apply at: https://marriott.taleo.net/careersection/7/jobdetail.ftl?job=160007LG  Connect with us on social media to keep up to date on The Ritz-Carlton news, learn more about our culture, and engage with the Careers team on Facebook.www.facebook.com/marriottjobsandcareers http://www.linkedin.com/company/ritz-carlton Join The Ritz-Carlton Ladies and Gentlemen. The Art and Soul of Hospitality. The Ritz-Carlton is an equal opportunity employer committed to hiring a diverse workforce and sustaining an inclusive culture. The Ritz-Carlton  does not discriminate on the basis of disability, veteran status or any other basis protected under federal, state or local laws."
Advertising Sales Representative Job in Chattanooga,AllBusiness Services - Other,"Chattanooga, TN 37401","Advertising Sales Account Executive Our Advertising & Marketing Account Executive sales position offers:$35k base, commissions, car allowance, gas paid, & health benefits. LogoNation, the leader in community oriented advertising, is rapidly expanding our outside sales team. We are seeking self-motivated and dynamic Sales and Marketing Account Executives (Community Account Manager) for our increasing sales opportunities selling advertising on The Original CommuniTee—our unique community promotion t-shirt. As a Sales and Marketing Account Executive for LogoNation, your territory includes 25-30 small towns within a radius up to 120 miles, your daily commute is typically around 45 minutes to an hour with no overnight travel involved. You will meet with town organizations and local business owners to learn about each town and develop a CommuniTee representing and promoting what is unique and special about each town. Job Responsibilities As a Sales and Marketing Account Executive for LogoNation, you will establish donation points at local organizations for free CommuniTees donated by LogoNation. You will conduct in person business to business sales presentations to highlight the benefits of the CommuniTee, close sales of CommuniTee ad space to local businesses, and deliver free T-shirts back to each participating business.  Additional responsibilities for our outside sales position include:· Building and maintaining good customer relationships· Meeting sales quotas· Submitting regular reports and communicating with your manager· Daily commute into local towns Job Requirements · Bachelor’s degree, specialization in marketing, communications or    business preferred· Experience in outside sales or experience with the public- however, entry    level job seekers with a track record of success are encouraged to apply· Reliable transportation  Additionally, self-motivated, and competitive individuals who have the drive to overcome obstacles and stay positive despite the inevitable challenges that come with sales typically do the best. Some of those challenges are handling rejection, working independently, and dealing with weather.  Advertising Sales Account Executive Pay and Benefits: ·        Salary $35,000·        Excellent Training (In-field and Home Office) ·        Fast Career Advancement (with our Career Growth Program) ·        Monthly car allowance ·        Monthly cell phone allowance·        Group Health Insurance·        Outstanding commission plan (uncapped commissions)·        Monthly and weekly fun incentive programs·        In-field (in-territory) training·        100% gas reimbursement from day 1·        Fuel card after 6 months·        Free AAA Membership (offering roadside assistance) ·        Paid holidays·        Accrued time off program·        401(K) retirement plan (with company match)·        Excellent communication and in field management support As a Sales and Marketing Account Executive for LogoNation you will have significant income potential and will also gain valuable outside sales training and experience that will propel your career forward. First year total compensation for our Sales and Marketing Account Executives averages $40,000 - $100,000! For more information and to apply, please visit our website!"
Gateway Education Specialist Job in Maryville,Healthcare Services,"Maryville, TN 37804","The Helen Ross McNabb Center (www.mcnabbcenter.org) is a premier not-for-profit provider of behavioral health services.  The Center provides quality care and serves all ages in a continuum of prevention, early intervention, social, co-occurring, addiction, outpatient and crisis services. The Center is seeking motivated staff members that possess the ability to relate to"
Project Manager Job in Medford,Computer/IT Services,"Job Description Job #:  679960Apex Systems combines with parent company On Assignment to make it the 2nd largest IT staffing agency in the country.Apex has an opportunity for a Jr. Project Manager for a client in Medford, MA. If interested in discussing the position further, please send an MS Word version of your resume to Katherine Rouff, krouff@apexsystemsinc.com .Here are the details:Position: Jr. Project ManagerLocation: Medford, MA until September 2016. The position will be moving to Watertown, MA in the middle of September.Rate: Negotiable Duration: 6+ Month W2 Contract to HireDay-to-Day Responsibilities:  The Project Manager is responsible for the assessment, planning, coordination and implementation of regulatory and product related projects that support the Product Management goals and objection.Must Haves:2+ years’ of Project Coordination/ Project Management experience1-2 years’ of Health Care Insurance experienceSelf-starter and organizedNice to Haves:Regulatory Implementation ExperienceACA experienceFor this opportunity, you will also be eligible for benefits through Apex for the contract period, a W2 hourly rate, weekly pay, and direct deposit!Apex Systems Inc. is an equal opportunity employer and encourages female and minority applicants to apply.EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739.EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739.","Job Description Job #:  679960Apex Systems combines with parent company On Assignment to make it the 2nd largest IT staffing agency in the country.Apex has an opportunity for a Jr. Project Manager for a client in Medford, MA. If interested in discussing the position further, please send an MS Word version of your resume to Katherine Rouff, krouff@apexsystemsinc.com .Here are the details:Position: Jr. Project ManagerLocation: Medford, MA until September 2016. The position will be moving to Watertown, MA in the middle of September.Rate: Negotiable Duration: 6+ Month W2 Contract to HireDay-to-Day Responsibilities:  The Project Manager is responsible for the assessment, planning, coordination and implementation of regulatory and product related projects that support the Product Management goals and objection.Must Haves:2+ years’ of Project Coordination/ Project Management experience1-2 years’ of Health Care Insurance experienceSelf-starter and organizedNice to Haves:Regulatory Implementation ExperienceACA experienceFor this opportunity, you will also be eligible for benefits through Apex for the contract period, a W2 hourly rate, weekly pay, and direct deposit!Apex Systems Inc. is an equal opportunity employer and encourages female and minority applicants to apply.EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739.EEO EmployerApex Systems LLC is an Equal Opportunity/Affirmative Action Employer. We evaluate qualified applicants without regard to race, color, religion, sex, national origin, disability, veteran status, and other protected characteristics. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at 866-612-2739."
